Date,TCS,INFY,WIPRO,HCLTECH,HDFCBANK,ICICIBANK,SBIN,AXISBANK,KOTAKBANK,RELIANCE,ITC,MARUTI,SUNPHARMA,LT,BHARTIARTL,ADANIENT,JSWSTEEL,HINDALCO,BAJFINANCE
2026-02-11,2870.873779296875,1471.9000244140625,229.80999755859375,1522.4527587890625,927.0999755859375,1406.0999755859375,1161.9556884765625,1347.300048828125,429.54998779296875,1468.699951171875,309.80975341796875,15412.0,1711.0999755859375,4130.06005859375,2012.0999755859375,2234.39990234375,1249.199951171875,965.9500122070312,968.9500122070312
2026-02-12,2713.31005859375,1386.0,219.0800018310547,1448.37109375,920.5999755859375,1430.0,1171.2874755859375,1340.0,426.25,1448.9000244140625,309.0309753417969,15326.0,1714.9000244140625,4145.41015625,2014.5,2211.800048828125,1247.9000244140625,964.4000244140625,999.0999755859375
2026-02-13,2656.1845703125,1369.0999755859375,214.08999633789062,1427.8636474609375,903.9000244140625,1414.5999755859375,1177.377685546875,1332.300048828125,420.6499938964844,1419.5999755859375,305.4291076660156,15237.0,1697.5,4133.5263671875,2004.699951171875,2136.60009765625,1232.0,909.0,1024.75
2026-02-16,2670.39208984375,1365.5999755859375,213.25999450683594,1434.33984375,925.7999877929688,1411.5999755859375,1186.70947265625,1358.300048828125,425.6000061035156,1437.0999755859375,309.5177307128906,15051.0,1700.5,4160.859375,2029.4000244140625,2184.60009765625,1248.199951171875,907.4500122070312,1012.75
2026-02-17,2681.04736328125,1391.199951171875,215.69000244140625,1454.7490234375,925.7000122070312,1407.5,1191.9156494140625,1357.199951171875,424.45001220703125,1423.0,316.8188171386719,15179.0,1717.0999755859375,4238.40185546875,2020.300048828125,2242.89990234375,1244.5999755859375,890.0999755859375,1014.1500244140625
2026-02-18,2658.848388671875,1373.699951171875,211.9499969482422,1439.6383056640625,924.7000122070312,1408.199951171875,1197.3182373046875,1377.0,426.3500061035156,1441.300048828125,323.6331787109375,15164.0,1724.4000244140625,4284.05615234375,2021.800048828125,2211.199951171875,1251.199951171875,899.25,1023.7999877929688
2026-02-19,2642.075927734375,1370.5,211.2100067138672,1423.1539306640625,915.5999755859375,1388.800048828125,1184.3519287109375,1356.5999755859375,416.3999938964844,1409.5,317.3542175292969,14903.0,1713.4000244140625,4239.09521484375,1988.5999755859375,2156.699951171875,1228.4000244140625,905.6500244140625,1017.0499877929688
2026-02-20,2650.264892578125,1353.199951171875,209.86000061035156,1409.5150146484375,911.8499755859375,1394.5,1194.5677490234375,1368.300048828125,421.3500061035156,1419.4000244140625,318.32769775390625,14977.0,1724.4000244140625,4338.22705078125,1977.4000244140625,2160.800048828125,1235.800048828125,935.7000122070312,1030.199951171875
2026-02-23,2640.497314453125,1327.5,205.88999938964844,1399.408447265625,923.5999755859375,1399.4000244140625,1206.0606689453125,1386.699951171875,430.70001220703125,1428.0,316.7701416015625,15072.0,1732.300048828125,4375.3642578125,1997.300048828125,2191.0,1240.5,916.2000122070312,1031.0
2026-02-24,2539.269775390625,1275.5,200.13999938964844,1314.042724609375,910.5,1384.800048828125,1201.640380859375,1387.5999755859375,427.70001220703125,1428.800048828125,314.9205322265625,14926.0,1731.800048828125,4218.00146484375,1941.0,2183.0,1254.5,922.8499755859375,1023.5499877929688
2026-02-25,2594.126220703125,1290.0999755859375,201.9199981689453,1352.3101806640625,907.5999755859375,1400.5,1178.85107421875,1403.0,424.95001220703125,1398.5,311.2699890136719,15070.0,1764.199951171875,4256.9208984375,1913.4000244140625,2231.699951171875,1275.0,937.4000244140625,1021.0499877929688
2026-02-26,2612.27978515625,1289.0999755859375,201.0800018310547,1347.698486328125,898.5999755859375,1404.9000244140625,1188.084716796875,1395.5,424.54998779296875,1406.800048828125,309.8584289550781,15213.0,1785.699951171875,4245.037109375,1929.5999755859375,2216.39990234375,1280.5999755859375,941.2999877929688,1012.9500122070312
